Hadith,reference
"Abu Huraira relacjonował: Kiedy dusza wierzącego wyszłaby (z jego ciała), zostałaby przyjęta przez dwóch aniołów, którzy zabraliby ją do nieba. Hammad (jeden z narratorów w łańcuchu przekazicieli) wspomniał o słodyczy jej zapachu, (i dalej powiedział), że mieszkańcy nieba mówią: Oto nadchodzi pobożna dusza od strony ziemi. Niech będą błogosławieństwa Allah dla ciała, w którym przebywa. I jest ona niesiona (przez aniołów) do swego Pana, Wywyższonego i Chwalebnego. On powie: Zabierz ją do jej przeznaczenia. A jeśli jest niewierzący, a kiedy ona (dusza) opuszcza ciało - Hammad wspomniał o jej nieprzyjemnym zapachu i o tym, że jest przeklęta - mieszkańcy nieba mówią: Nadchodzi brudna dusza od strony ziemi, i powiedziano by: Zabierz ją do jej przeznaczenia. Abu Huraira przekazał, że Posłaniec Allah (ﷺ) położył cienką szmatkę, którą miał przy sobie na nosie, gdy wspominał (o nieprzyjemnym zapachu) duszy niewierzącego.",Sahih Muslim 2872
"Abu Huraira przekazał, że Posłaniec Allah (ﷺ) powiedział: Ostatnia Godzina nie nadejdzie, zanim Eufrat nie odkryje góry złota, o którą ludzie będą walczyć. Dziewięćdziesięciu dziewięciu z każdej setki zginie, ale każdy z nich powie, że być może to on zostanie uratowany (i w ten sposób posiądzie to złoto).",Sahih Muslim 2894a
"Hudhaifa b. Usaid al-Ghifari przekazał: Posłaniec Allah (ﷺ) przyszedł do nas nagle, gdy byliśmy (zajęci dyskusją). Powiedział: O czym dyskutujecie? Oni (Towarzysze) powiedzieli. Dyskutujemy o Ostatniej Godzinie. Następnie powiedział: Nie nadejdzie, dopóki nie ujrzycie dziesięciu znaków przedtem i (w związku z tym) wspomniał o dymie, Dajjalu, bestii, wschodzie słońca z zachodu, zstąpieniu Jezusa syna Marii (niech Allah będzie z niego zadowolony), Gogu i Magogu oraz osuwiskach w trzech miejscach, jednym na wschodzie, jednym na zachodzie i jednym w Arabii, na końcu których ogień wypali się z Jemenu i wypędzi ludzi na miejsce ich zgromadzenia.",Sahih Muslim 2901a
"Abu Huraira przekazał, że Posłaniec Allah (ﷺ) powiedział: Ostatnia Godzina nie nadejdzie, dopóki człowiek nie przejdzie obok grobu innej osoby i nie powie: Chciałbym, żeby to było moje miejsce zamieszkania.",Sahih Muslim 157k
"Abu Bakr bin 'Abdullah bin Qais przekazał od swojego ojca, że ​​Prorok (s.a.w) powiedział: „Zaprawdę, w Raju są dwa ogrody, ich naczynia i wszystko, co się w nich znajduje, są ze srebra. I są dwa ogrody, ich naczynia i wszystko, co się w nich znajduje, są ze złota. Nie ma nic między ludźmi a ich widzeniem Pana, poza Płaszczem Wielkości na Jego Twarzy w Ogrodzie Wieczności”.
A z łańcucha, jak donosi Prorok (s.a.w), powiedział: „Zaprawdę, w Raju jest wielki namiot z wydrążonej perły, jego szerokość wynosi sześćdziesiąt mil, w każdym jego zakątku jest rodzina, oni nie widzą innych, a wierzący idzie wokół nich”.",Jami` at-Tirmidhi 2528
"Abu Hurairah przekazał, że Posłaniec Allah (s.a.w) powiedział: „W Raju jest sto poziomów, pomiędzy każdymi dwoma poziomami jest (odległość) stu lat”.",Jami` at-Tirmidhi 2529
"Dawud bin Amir bin Sa'd bin Abi Waqqas przekazał od swojego ojca, od swojego dziadka, że Prorok (s.a.w) powiedział: ""Gdyby tak niewiele, jak to, co można umieścić na paznokciu, z tego co jest w Raju, stało się widoczne, upiększyłoby to wszystkie dalekie zakątki niebios i ziemi. A gdyby pojawił się człowiek spośród ludzi w Raju, a jego bransoletki stałyby się widoczne, przyćmiłoby to światło słońca, tak jak słońce przyćmiewa światło gwiazd"".",Jami` at-Tirmidhi 2538
"Abu Hurairah przekazał od Posłańca Allah (s.a.w), że powiedział on: „Ludzie w Raju są bez włosów na ciele, Murd, z Kuhl(na powiekach), ich młodość nie dobiega końca, a ich ubrania się nie zużywają”.",Jami` at-Tirmidhi 2539
"Mu'adh bin Jabal przekazał, że Prorok (s.a.w) powiedział: „Ludzie do Raju wejdą bez owłosienia na ciele, Murd, z Kuhl na oczach, w wieku trzydziestu lat lub trzydziestu trzech lat”.",Jami` at-Tirmidhi 2545
"Asma' bint Abi Bakr przekazała: „Słyszałam, jak Posłaniec Allah (s.a.w) wspominając o Drzewie Lote Najwyższej Granic powiedział: „Jeździec będzie podróżował w cieniu jednej z jego gałęzi przez sto lat” lub „stu jeźdźców będzie chciało osłonić się jego cieniem” – (jeden z narratorów) Yahya miał wątpliwości – „w nim są złote motyle, tak, jakby jego owoce były Qilal”.",Jami` at-Tirmidhi 2541
"Anas bin Malik przekazał, że Posłaniec Allah (s.a.w) został zapytany: „Co to jest Al-Kawthar?”. Odpowiedział: „To jest rzeka, którą dał mi Allah”- znaczy w Raju- 'bielsza niż mleko i słodsza niż miód. Są w niej ptaki, których szyje są jak szyje wielbłądów"". 'Umar powiedział: „Rzeczywiście, to jest pulchne i luksusowe”. Posłaniec Allah (s.a.w) powiedział: „Ci, którzy go spożywają, są bardziej pulchni niż to”.",Jami` at-Tirmidhi 2542
"Ibn Buraidah przekazał od swojego ojca, że Posłaniec Allah (s.a.w) powiedział: „Ludzi w Raju jest sto dwadzieścia rzędów, osiemdziesiąt z nich jest z tego narodu, a czterdzieści z pozostałych narodów”.",Jami` at-Tirmidhi 2546
"Abdullah bin Mas'ud opowiadał: ""Byliśmy w namiocie z Posłańcem Allah (s.a.w), około czterdziestu z nas, kiedy Posłaniec Allah (s.a.w) powiedział do nas: 'Czy bylibyście zadowoleni z bycia jedną czwartą ludzi w Raju?' Odpowiedzieli: „Tak”. On powiedział: „Czy bylibyście zadowoleni, gdybyście byli jedną trzecią ludzi w Raju?”. Oni powiedzieli: „Tak”. On powiedział: „Czy bylibyście zadowoleni, gdybyście byli połową ludzi w Raju?” Oni powiedzieli: „Tak”. Zaprawdę, nikt nie wejdzie do Raju z wyjątkiem duszy muzułmańskiej. A wy nie jesteście w stosunku do Shirk niczym innym, jak tylko białymi włosami na skórze czarnego byka lub czarnymi włosami na skórze czerwonego byka"". Inne łańcuchy przekazują podobne narracje.",Jami` at-Tirmidhi 2547
"Jarir bin 'Abdullah Al-Bajali przekazał: „Siedzieliśmy z Prorokiem (s.a.w), kiedy spojrzał w stronę księżyca w noc pełni księżyca i powiedział: „Zaprawdę, zostaniecie postawieni przed waszym Panem i ujrzycie Go tak, jak widzicie ten księżyc. Ujrzycie Go bez problemu. Więc jeśli jesteście w stanie powstrzymać się od przytłoczenia modlitwą przed wschodem słońca i przed jego zachodem, to zróbcie to”. Następnie wyrecytował: I wysławiajcie chwałę waszego Pana przed zachodem”.",Jami` at-Tirmidhi 2551
"Suhaib przekazał odnośnie Jego (Allah) stwierdzenia: Dla tych, którzy czynią dobro, jest najlepsza (nagroda), a nawet więcej - Prorok (s.a.w) powiedział: „Kiedy ludzie Raju wejdą do Raju, wzywający zawoła: „Zaprawdę, macie obietnicę u Allah”. Oni powiedzą: „Czyż nie wybielił naszych twarzy, nie ocalił nas od Ognia i nie wpuścił nas do Raju?” Oni powiedzą: „Zaprawdę”. Wtedy Zasłona zostanie podniesiona”. Powiedział: „Tak więc, na Boga, On nie dał im nic bardziej ukochanego niż patrzenie na Niego”.",Jami` at-Tirmidhi 2552
"Abu Hurairah przekazał, że Prorok (s.a.w) powiedział: „Zaprawdę, mieszkańcy Raju zobaczą górną komnatę tak, jak widzą wschodnią gwiazdę, lub zachodnią gwiazdę, znikającą na dalekim krańcu nieba, lub wznoszącą się z powodu różnic poziomów”. Oni powiedzieli: „Czy to są Prorocy?” On rzekł: „Tak. Przez Tego, w Którego Ręce jest moja dusza, i grupy, które uwierzyły w Allah i Jego Posłańca, i uwierzyły w Posłańców”.",Jami` at-Tirmidhi 2556
"Hakim bin Mu'awiyah przekazał od swojego ojca, że Prorok (S.A.W) powiedział: „Zaiste w Raju jest morze wody, i morze miodu, i morze mleka, i morze wina, a następnie rzeki się rozdzielą”.",Jami` at-Tirmidhi 2571
"Anas bin Malik przekazał, że Posłaniec Allah (s.a.w) powiedział: „Ktokolwiek prosi Allah (s.w.t) o Raj trzy razy, Raj mówi: ""O Allah, wpuść go do Raju"", a ktokolwiek szuka schronienia przed Ogniem trzy razy, Ogień mówi: ""O Allah, ocal go przed Ogniem”"". Inne łańcuchy przekazują podobne narracje.",Jami` at-Tirmidhi 2572
